"","regen_pipo","YEAR.DIFF","BALive_pipo","BALiveTot","CMD_1995","MAP_1995","FIRE.SEV"
"482",0,15,18.12,104.01,431.63,377.29,1
"483",0,3,0,0,460.26,393.38,2
"484",0,15,147.81,147.81,375.74,516.66,1
"485",0,15,29.47,38.57,387.94,540.41,2
"486",0,8,0,0,389.67,387,1
"487",0,9,0,0,391.55,456.73,3
"488",0,3,44.8,44.8,563.96,335.92,2
"489",0,5,0,0,554.56,378.83,4
"490",0,3,41.5,41.5,601.46,339.51,3
"491",0,15,49.31,49.31,583.61,365.08,1
"492",1,3,76.14,76.14,561.73,343.53,3
"493",0,12,6.64,25.51,611.5,336.44,2
"494",0,3,0,0,589.38,356.32,3
"495",1,25,22.02,22.02,525.45,381.02,1
"496",0,3,21.64,21.64,554.71,357.09,3
"497",1,27,30.19,30.19,462.89,378.76,4
"498",0,7,0,8.18,391.05,697.85,2
"499",0,28,56.51,83.98,321.58,603.52,3
"500",1,2,18.63,149.02,367.01,780.46,1
"501",1,2,44.09,89.39,267.75,947.93,2
"502",0,9,58.51,58.51,415.74,708.24,2
"503",0,2,20.57,20.57,513.83,707.12,2
"504",0,20,0,0,498.64,592.56,3
"505",0,7,0.4,0.4,373.53,807.71,1
"506",0,2,93.91,93.91,615.05,606.58,NA
"507",0,7,0,28.26,570.58,512.34,2
"508",0,2,0,0,467.45,531.89,2
"509",0,8,0,0,418.1,964.66,3
"510",0,8,6.9,10.89,353.69,646.94,4
"511",0,3,117.89,132.48,241.18,987.58,3
"512",1,21,78.01,78.01,492.37,794.3,2
"513",0,3,21.17,40.67,373.43,880.21,3
"514",0,8,49.76,49.76,389.99,734.52,1
"515",0,8,0,0,427.44,504.15,4
"516",0,12,40.64,40.64,454.14,652.48,2
"517",0,8,0,0,516.73,514.9,4
"518",0,3,32.52,62.7,486.63,777.25,3
"519",0,3,35.21,39.25,403.93,579.27,2
"520",0,3,8.57,8.57,512.39,484.42,4
"521",1,13,24.37,28.02,795.09,488.08,2
"522",1,20,113.58,113.58,607.67,623.33,2
"523",0,4,9.83,27.44,411.83,667.22,1
"524",0,6,35.51,36.73,751.21,414.14,1
"525",0,11,30.09,123.07,626.01,750.32,3
"526",1,18,100.81,111.21,489.25,730.26,1
"527",1,13,16.49,30.52,723.51,506.67,4
"528",0,4,0,0,506.88,703.98,4
"529",1,7,2.1,78.67,712.07,563.64,2
"530",0,4,22.73,82.82,443.54,655.76,2
"531",0,4,0,45.19,429.85,708.02,2
"532",0,4,0,0,523.69,643.46,NA
"533",0,7,0,162.82,748.54,620.25,1
"534",0,4,60.38,107.83,557.17,567.87,2
"535",0,9,75.04,75.04,546,515.74,3
"536",0,19,0,4.19,609.78,428.3,4
"537",0,15,30.42,64.62,605.71,458.87,2
"538",0,5,129.12,133.84,520.38,636.29,2
"539",0,3,21.07,21.07,562.27,571.17,3
"540",0,17,61.16,65.02,613.51,487,2
"541",0,3,17.24,45.78,795.2,452.82,1
"542",0,8,8.72,8.72,595.85,515.58,2
"543",0,1,56.06,91.16,583.71,646.07,1
"544",0,1,38.11,110.67,503.6,721.61,2
"545",1,1,80.95,104.13,421.68,793.33,1
"546",0,1,97.9,111.12,712.9,489.82,2
"547",0,1,0,0,345.02,873.16,3
"548",0,1,26.66,44.78,449.6,725.9,1
"549",0,1,80.95,109.21,538.18,604.31,2
"550",0,1,0,5.29,433.77,772.43,1
"551",0,1,56.3,77.48,583.13,533.3,1
"552",0,1,54.57,77.92,744.65,474.95,1
"553",0,1,61.3,68.02,830.76,450.08,2
"554",0,1,37.44,37.44,496.96,628.44,2
"555",0,1,75.03,112.84,589.96,576.78,1
"556",0,1,30.31,94.99,646.66,604.79,2
"557",0,1,23.45,26.47,643.03,615.12,1
"558",0,1,77.98,111.65,547.74,645.43,2
"559",0,1,0,16.88,287.58,804.11,NA
"560",0,1,2.48,124.7,386.8,714.23,2
"561",0,11,60.8,137.23,492.66,808.85,1
