"","regen_pipo","YEAR.DIFF","BALive_pipo","BALiveTot","CMD_1995","MAP_1995","def59_z_13","REBURN","FIRE.SEV"
"114","0",5,0,0,561.46,453.36,0.0599999949336052,"N",4
"115","0",6,0,0,534.7,547.49,0.213333328564962,"N",4
"116","1",1,45,45,407.6,555.59,0.643333320816358,"N",1
"117","1",11,32.6,114.5,349.44,875,-0.160000016291936,"N",3
"118","1",13,76.7,140.14,552.41,692.14,-0.633333330353101,"N",2
"119","0",6,15.64,69.67,548.89,614.22,0.299999994536241,"N",2
"120","0",9,0,12.69,566.8,626.88,0.710000013311704,"N",3
"121","0",1,8.72,53.77,696.67,520.88,0.646666665871938,"N",1
"122","0",3,0,5.51,708.18,636.26,0.0433333267768224,"N",2
"123","0",13,95.67,95.67,645.21,630.69,-0.73666667441527,"Y",2
"124","1",6,15.51,92.07,781.27,375.31,0.256666665275892,"N",1
"125","0",14,86.89,101.3,645.95,622.76,-0.269999990860621,"N",2
"126","0",7,2.69,51.76,709.17,516.17,0.760000010331472,"Y",1
"127","1",8,4.53,129.54,794.68,518.15,0.729999979337057,"N",2
"128","0",7,0,0,543.42,742.94,0.719999978939692,"Y",4
"129","1",17,14.42,14.42,432.88,655.58,-0.356666684150696,"N",4
"130","0",3,47.87,82.44,559.2,661.69,0.633333340287209,"N",2
"131","1",17,20.23,20.23,670.21,512.11,-0.483333349227905,"N",3
"132","0",11,1.38,1.38,496.33,551.74,1.03666667143504,"Y",3
"133","0",1,13.2,120.19,316.76,857.53,-0.336666658520699,"N",1
"135","0",2,78.95,96.44,368.96,765.58,-0.536666686336199,"N",3
"136","0",2,44.64,61.37,353.36,791.31,-0.269999990860621,"N",1
"137","0",13,0,0,568.23,455.99,-1.0933333337307,"Y",4
"138","0",8,5.29,14.16,661.42,495.36,1.03666667143504,"N",2
"139","0",7,1.89,4.21,394.46,723.36,0.609999984502792,"N",3
"140","0",7,0,5.67,329.05,551.91,0.373333346098661,"Y",3
"141","1",6,8.26,8.26,542.32,381.76,0.496666649977366,"N",2
"142","1",15,16.41,16.41,585.1,365.04,-0.693333347638448,"N",2
"143","0",9,3.48,6.32,469.83,346.64,0.679999967416128,"N",2
"144","0",7,17.29,21.12,464.84,377.57,0.213333333532015,"Y",1
"145","0",18,67.14,172.67,311.72,480.58,-0.453333333134651,"N",1
"146","0",3,33.83,33.83,563.35,312.1,0.173333336909612,"N",3
"147","0",2,0,0,285.17,464.09,-0.210000003377597,"N",2
"148","1",15,60.55,60.55,414.51,560.42,-0.720000001291434,"N",2
"149","1",2,66.23,95.06,431.48,462.99,-0.0500000094374021,"N",1
"150","0",2,5.63,46.11,715.83,363.05,0.569999992847443,"N",2
"151","0",2,10.42,79.25,615.05,519.59,-0.880000005165736,"N",2
"152","0",6,16.06,19.2,670.72,476.32,0.156666656335195,"N",2
"153","0",5,30.76,111.34,748.42,514.8,-1.0466666618983,"N",2
"154","0",3,24.02,70.2,686.48,578.67,-1.06666666269302,"N",1
"155","0",5,47.01,81.61,548.44,638.92,-1.04999999205271,"N",2
"156","0",17,86.77,86.77,681.4,467.01,0.863333309690158,"N",1
"157","1",2,78.22,78.22,741.58,440.85,-1.08666664361954,"N",2
"158","0",8,2.03,54.33,695.61,493.44,1.33666664361954,"N",2
"159","0",1,4.34,4.34,730.65,496.37,-1.10999997456868,"N",2
"160","0",3,21.38,58.83,801.38,452.52,-1.11000000437101,"N",2
"161","0",5,42.2,51.02,687.29,491.68,0.1400000055631,"N",1
"162","1",5,16.62,80.28,749.51,488.46,0.053333322207133,"Y",1
"163","0",4,109.52,109.52,753.35,470.01,-1.11333332459132,"N",2
"164","0",5,63.94,63.94,691.8,508.75,0.160000026226044,"Y",2
"165","0",7,0,72.87,702.45,513.07,0.143333335717519,"Y",1
"166","0",3,41.3,43.84,685.94,541.06,0.136666655540466,"Y",1
"167","0",5,5.15,20.29,821.73,475.75,0.953333338101705,"Y",2
"168","1",12,45.93,114.65,544.01,646.13,-0.346666673819224,"N",3
"169","1",12,0,0,442.76,737.12,-0.599999999006589,"Y",4
"170","1",15,102.43,156.72,431.6,709.01,-0.369999994834264,"Y",1
"171","0",20,15.12,15.12,875.6,305.01,-0.559999982515971,"N",2
"172","0",17,7.09,77.25,518.87,510.98,-0.533333331346512,"N",2
"173","0",7,9.26,9.26,484.04,517.89,0.996666669845581,"N",1
"174","0",6,32.86,32.86,499.5,512.26,0.990000014503797,"N",3
"175","0",5,30.18,36.67,470.22,522.6,0.980000014106433,"N",4
"176","0",7,0,0,564.15,471.76,0.993333339691162,"N",4
"177","0",7,0,0,654.14,456.61,0.970000008742015,"N",4
"178","0",16,33.46,53.19,658.27,512.52,-0.356666684150696,"N",2
"179","1",4,17.85,33.44,561.99,582.55,0.129999995231628,"Y",2
"180","0",1,0,75.26,713.7,572.95,-0.363333354393641,"N",2
"181","0",11,46.06,137.33,596.24,627.85,-0.263333340485891,"N",2
"182","0",4,11.99,18.94,568.85,663.31,-0.383333325386047,"N",3
"183","0",6,9.88,18.14,590.04,627.58,0.176666676998138,"Y",2
"184","0",16,0,0,669.52,498.19,-0.0433333615461985,"N",3
"185","0",3,0,0,580.06,543.04,-0.109999984502792,"N",3
"186","0",5,11.78,35.44,694.9,498.98,-0.146666675806046,"N",2
"187","1",4,56.13,74.22,623.21,531.92,-0.223333346347014,"N",2
"188","0",6,3.14,6.36,615.77,457.33,1.11666667461395,"N",3
"189","0",9,0,0,477.3,542.97,1.18333333730698,"N",4
"190","0",10,0,0.81,561.94,489.2,1.22333331902822,"N",4
"191","1",4,160.48,162.8,506.94,594.72,0.0300000011920929,"N",2
"192","0",10,3.61,66.66,538.98,621.12,-0.369999984900157,"N",2
"193","0",12,0.58,9.97,554.82,606.84,-0.286666671435038,"N",3
"194","0",6,26.51,53.04,504.45,621.05,1.41999995708466,"N",3
"195","0",9,9.12,42.93,622.26,587.72,0.989999969800313,"Y",2
